Details,Details,URL,Whisky
bottle.jsp?bid=1888&bottling=Bowmore+'Bicentenary',"Bowmore 'Bicentenary' (43%, OB, no vintage statement, +/-1979, 75cl)",http://www.whisky-monitor.com/bottle.jsp?bid=1888&bottling=Bowmore+'Bicentenary',Bowmore 'Bicentenary'
bottle.jsp?bid=16783&bottling=Port+Charlotte+'Scottish+Barley',"Port Charlotte 'Scottish Barley' (50%, OB, NAS, Heavily Peated, 700ml, 2013)",http://www.whisky-monitor.com/bottle.jsp?bid=16783&bottling=Port+Charlotte+'Scottish+Barley',Port Charlotte 'Scottish Barley'
bottle.jsp?bid=16338&bottling=Glenfarclas+15yo,"Glenfarclas 15yo (46%, OB, 2012*)",http://www.whisky-monitor.com/bottle.jsp?bid=16338&bottling=Glenfarclas+15yo,Glenfarclas 15yo
bottle.jsp?bid=17654&bottling=Laphroaig+'Cairdeas',"Laphroaig 'Cairdeas' (51.5%, OB, NAS, 750ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17654&bottling=Laphroaig+'Cairdeas',Laphroaig 'Cairdeas'
bottle.jsp?bid=17653&bottling=Laphroaig+15yo+'200th+Anniversary+Release',"Laphroaig 15yo '200th Anniversary Release' (43%, OB, 750ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17653&bottling=Laphroaig+15yo+'200th+Anniversary+Release',Laphroaig 15yo '200th Anniversary Release'
bottle.jsp?bid=17652&bottling=Ardbeg+'Supernova+SN2015',"Ardbeg 'Supernova SN2015' (54.3%, OB, Committee Reserve, 70cl)",http://www.whisky-monitor.com/bottle.jsp?bid=17652&bottling=Ardbeg+'Supernova+SN2015',Ardbeg 'Supernova SN2015'
bottle.jsp?bid=17651&bottling=Kavala+'Solist+Pedro+Ximenes',"Kavala 'Solist Pedro Ximenes' (55.6%, OB, NAS, PX sherry cask, C#S100630023A, 504 Bts., 750ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17651&bottling=Kavala+'Solist+Pedro+Ximenes',Kavala 'Solist Pedro Ximenes'
bottle.jsp?bid=17650&bottling=Kavalan,"Kavalan (57.8%, OB, NAS, Sherry cask, C#S090615035B, 522 Bts., 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17650&bottling=Kavalan,Kavalan
bottle.jsp?bid=17649&bottling=Glenlivet+'Nadurra+Peated+Cask+finish',"Glenlivet 'Nadurra Peated Cask finish' (61.5%, OB, NAS, Batch#PW0715, btl.07/'15, 70cl, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17649&bottling=Glenlivet+'Nadurra+Peated+Cask+finish',Glenlivet 'Nadurra Peated Cask finish'
bottle.jsp?bid=2559&bottling=Bruichladdich+34yo+'Legacy+VI',"Bruichladdich 34yo 'Legacy VI' (41%, OB, 1704 Bts., 2007)",http://www.whisky-monitor.com/bottle.jsp?bid=2559&bottling=Bruichladdich+34yo+'Legacy+VI',Bruichladdich 34yo 'Legacy VI'
bottle.jsp?bid=17606&bottling=Yoichi+'2000's',"Yoichi '2000's' (57%, OB, NAS, A vatting using malts from 2000-2009, distillery only, 500ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17606&bottling=Yoichi+'2000's',Yoichi '2000's'
bottle.jsp?bid=17605&bottling=Yoichi,"Yoichi (45%, OB, NAS, 700ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17605&bottling=Yoichi,Yoichi
bottle.jsp?bid=17588&bottling=Bruichladdich+2009+'Islay+Barley',"Bruichladdich 2009 'Islay Barley' (50%, OB, Claggan, Cruach, Island and Mulindry farms, 700ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17588&bottling=Bruichladdich+2009+'Islay+Barley',Bruichladdich 2009 'Islay Barley'
bottle.jsp?bid=17587&bottling=Laphroaig+21yo+1993,"Laphroaig 21yo 1993 (48.4%, OB for FOL, first fill ex-bourbon casks., 35cl, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17587&bottling=Laphroaig+21yo+1993,Laphroaig 21yo 1993
bottle.jsp?bid=2355&bottling=Brora+1972/1997,"Brora 1972/1997 (40%, Gordon & MacPhail Connoisseurs Choice)",http://www.whisky-monitor.com/bottle.jsp?bid=2355&bottling=Brora+1972/1997,Brora 1972/1997
bottle.jsp?bid=1904&bottling=Bowmore+18yo,"Bowmore 18yo (43%, OB, New presentation, 2007)",http://www.whisky-monitor.com/bottle.jsp?bid=1904&bottling=Bowmore+18yo,Bowmore 18yo
bottle.jsp?bid=17586&bottling=The+Chita,"The Chita (43%, OB, NAS, 700ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17586&bottling=The+Chita,The Chita
bottle.jsp?bid=17585&bottling=Bowmore+10yo+'Tempest',"Bowmore 10yo 'Tempest' (54.9%, OB, Batch#VI, First fill bourbon, 700ml, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17585&bottling=Bowmore+10yo+'Tempest',Bowmore 10yo 'Tempest'
bottle.jsp?bid=17584&bottling=Bowmore+'Mizunara+cask+finish',"Bowmore 'Mizunara cask finish' (53.9%, OB, NAS, 2015)",http://www.whisky-monitor.com/bottle.jsp?bid=17584&bottling=Bowmore+'Mizunara+cask+finish',Bowmore 'Mizunara cask finish'
